task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
0,fake_hanoi,failed,'dict' object has no attribute 'name',0,0,1.0,0,1.0,,,
1,fake_brisbane,failed,'dict' object has no attribute 'name',1,1,2.0,0,1.0,,,
